RecordType,BusinessID,BusinessName,Category,City,State,Country,Address,Phone,MailingAddress,Website,Email,Facebook,Instagram,Description,Cuisine,Latitude,Longitude,Rating,PriceLevel,ImageURL,ReservationMethod,ReservationPhone,ReservationURL,Tags,Service,Days,StartTimeLocal,EndTimeLocal,WindowName,IsSpecial,SpecialType,MenuID,MealPeriod,SectionID,SectionName,AvailabilityWindow,ItemID,ItemName,ItemDescription,Price,PriceType,Size,OptionGroupIDs,ItemTags,OptionGroupID,OptionGroupName,Required,MinSelections,MaxSelections,OptionName,OptionPriceDelta,OptionDescription,OptionTags,PolicyType,AgeMax,Notes,EventID,EventCategory,EventTitle,StartDate,StartTime,EndTime,Recurrence,ArtistName,EventDescription,Admission,EventPrice,Source
BUSINESS,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,"20115 State Highway 135, Gulf Shores, AL 36542",(251) 948-7275,,https://alapark.com/gulf-state-park,gulfstatepark@dcnr.alabama.gov,https://facebook.com/gulfstatepark,@gulfstatepark,Public boat launch and marina facility on Shelby Lakes in Gulf State Park. Two-lane boat ramp with courtesy dock overnight boat storage trailer parking and fish cleaning station. Access to Little Lagoon and Gulf of Mexico.,Boat Launch • Marina • Fishing,30.2698,-87.6612,4.6,$,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800,,,,"boat launch|fishing|marina|trailer parking|fish cleaning station|kayak launch|public access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOURS,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,Boat Launch,Monday,05:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOURS,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,Boat Launch,Tuesday,05:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOURS,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,Boat Launch,Wednesday,05:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOURS,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,Boat Launch,Thursday,05:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOURS,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,Boat Launch,Friday,05:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOURS,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,Boat Launch,Saturday,05:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOURS,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,Boat Launch,Sunday,05:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_SECTION,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_launch,Boat Launch Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_SECTION,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_parking,Parking & Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_SECTION,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_passes,Annual Passes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_ITEM,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_launch,Boat Launch Fees,,item_daily_launch,Daily Boat Launch,Single boat launch fee valid for one day. Includes use of courtesy dock and fish cleaning station.,15.00,fixed,Per Launch,,boat launch,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_ITEM,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_launch,Boat Launch Fees,,item_kayak_launch,Kayak/Canoe Launch,Launch fee for kayaks canoes and paddleboards. Includes access to designated launch area.,5.00,fixed,Per Vessel,,kayak|launch,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_ITEM,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_parking,Parking & Storage,,item_trailer_parking,Trailer Parking,Daily trailer and vehicle parking while on water. Secure lot with attendant.,10.00,fixed,Per Day,,parking,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_ITEM,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_parking,Parking & Storage,,item_overnight_storage,Overnight Boat Storage,Secure overnight boat storage on trailer in designated area.,25.00,fixed,Per Night,,storage,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_ITEM,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_parking,Parking & Storage,,item_monthly_storage,Monthly Boat Storage,30-day boat storage on trailer in secure lot. Must register boat with park office.,150.00,fixed,Per Month,,storage,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_ITEM,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_passes,Annual Passes,,item_annual_launch_pass,Annual Launch Pass,Unlimited boat launches for one year from purchase date. Registered to boat and owner. Non-transferable.,200.00,fixed,Annual,,boat launch|annual pass,,,,,,,,,,,,,,,,,,,,,,,,,
MENU_ITEM,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,menu_services,Services & Fees,sec_passes,Annual Passes,,item_annual_park_pass,Annual State Park Pass,Unlimited access to all Alabama State Parks including boat launches picnic areas and beaches.,50.00,fixed,Annual,,park pass|annual pass,,,,,,,,,,,,,,,,,,,,,,,,,
POLICY,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boat_requirements,,All boats must have valid Alabama registration. Personal watercraft and boats must follow all safety regulations. Life jackets required.,,,,,,,,,,
POLICY,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fishing_license,,Alabama fishing license required for all anglers age 16+. Available for purchase at park office and local retailers.,,,,,,,,,,
POLICY,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hours,,Launch facility open dawn to dusk daily. Overnight storage boats must be registered at park office. Night fishing allowed from courtesy dock.,,,,,,,,,,
POLICY,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facilities,,Two-lane concrete ramp with courtesy dock. Fish cleaning station with running water. Restrooms available. Ample trailer parking. No fuel sales on-site.,,,,,,,,,,
POLICY,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,payment,,Cash credit and debit cards accepted. Annual passes available at park office. Self-service payment kiosk available during off-hours.,,,,,,,,,,
POLICY,gulf-state-park-boat-launch,Gulf State Park Boat Launch,other,Gulf Shores,AL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rules,,No glass containers on dock or ramp. Clean up after fish cleaning. Dispose of trash properly. No littering. Speed limit 5 mph in no-wake zone.,,,,,,,,,,
